t_pc,t_mcu_ms,gx_raw,gy_raw,gz_raw
1771261861.6111429,746967,0.0271835,-0.036041,-0.0114537
1771261861.611653,746981,0.0250455,-0.0297797,-0.0148135
1771261861.612111,746995,0.02474,-0.0323759,-0.013439
1771261861.612344,747009,0.0244346,-0.030696,-0.00916297
1771261861.6125782,747023,0.0241292,-0.0332921,-0.0160352
1771261861.6128142,747037,0.0222966,-0.0288634,-0.0138972
1771261861.613058,747051,0.0251982,-0.0326813,-0.0117592
1771261861.613298,747065,0.0273362,-0.0300851,-0.00946841
1771261861.613525,747079,0.0250455,-0.032834,-0.0138972
1771261861.613765,747092,0.0251982,-0.0285579,-0.0128282
1771261861.613994,747107,0.0270308,-0.030696,-0.0125227
1771261861.6142342,747121,0.0261145,-0.0325286,-0.00992656
1771261861.61447,747134,0.0235183,-0.030696,-0.0151189
1771261861.6146922,747149,0.02474,-0.0323759,-0.0148135
1771261861.614922,747163,0.0229074,-0.0337503,-0.0137445
1771261861.6151621,747176,0.0267254,-0.0284052,-0.0137445
1771261861.615401,747191,0.0255036,-0.0322231,-0.0116064
1771261861.6156511,747205,0.0242819,-0.0340557,-0.00931569
1771261861.615884,747218,0.0251982,-0.0314596,-0.0140499
1771261861.616126,747232,0.0239765,-0.0297797,-0.013439
1771261861.616357,747247,0.0230602,-0.0319177,-0.0149662
1771261861.616589,747260,0.0233656,-0.0314596,-0.0114537
1771261861.616828,747274,0.0235183,-0.0282525,-0.0140499
1771261861.6170602,747289,0.0239765,-0.0348193,-0.0108429
1771261861.617291,747302,0.0261145,-0.0352775,-0.0117592
1771261861.617525,747318,0.0253509,-0.0326813,-0.0177151
1771261861.61775,747333,0.0244346,-0.0334449,-0.0137445
1771261861.617976,747346,0.0256563,-0.0313068,-0.0128282
1771261861.618203,747360,0.0245873,-0.0299324,-0.0172569
1771261861.61843,747375,0.0239765,-0.0319177,-0.0155771
1771261861.618655,747388,0.0245873,-0.0329867,-0.0111483
1771261861.618877,747402,0.0239765,-0.0308487,-0.010232
1771261861.619107,747417,0.0250455,-0.0343612,-0.0114537
1771261861.619332,747430,0.0253509,-0.0331394,-0.0120646
1771261861.6195579,747444,0.0256563,-0.0308487,-0.0125227
1771261861.619782,747459,0.0251982,-0.0326813,-0.0158825
1771261861.620024,747472,0.0251982,-0.0314596,-0.0137445
1771261861.620223,747486,0.0239765,-0.0323759,-0.014508
1771261861.620497,747501,0.0250455,-0.0320704,-0.0138972
1771261861.620712,747514,0.0219911,-0.0326813,-0.0111483
1771261861.6209202,747528,0.0244346,-0.0320704,-0.0117592
1771261861.621127,747542,0.0253509,-0.0320704,-0.0140499
1771261861.6213171,747556,0.02474,-0.0335976,-0.0152716
1771261861.621519,747570,0.0251982,-0.0322231,-0.0154243
1771261861.621717,747584,0.0230602,-0.0325286,-0.0119119
1771261861.6219258,747598,0.0233656,-0.0326813,-0.0138972
1771261861.629729,747612,0.0227547,-0.0340557,-0.0125227
1771261861.64373,747626,0.0238237,-0.032834,-0.0131336
1771261861.657828,747640,0.0239765,-0.030696,-0.0131336
1771261861.671823,747654,0.0250455,-0.031765,-0.01237
1771261861.685631,747668,0.0244346,-0.032834,-0.013439
1771261861.699589,747681,0.023671,-0.0332921,-0.0140499
1771261861.713742,747696,0.02474,-0.030696,-0.014508
1771261861.727712,747710,0.0256563,-0.0323759,-0.0131336
1771261861.741663,747723,0.0256563,-0.0302378,-0.013439
1771261861.755662,747738,0.0245873,-0.0314596,-0.0129809
1771261861.7696052,747752,0.0251982,-0.0322231,-0.0125227
1771261861.785735,747765,0.0248928,-0.0326813,-0.00992656
1771261861.7996569,747782,0.02474,-0.033903,-0.0103847
1771261861.81372,747796,0.0273362,-0.032834,-0.0126754
1771261861.827595,747809,0.0259618,-0.0291688,-0.0167988
1771261861.8415759,747824,0.0259618,-0.0331394,-0.0138972
1771261861.855517,747838,0.0230602,-0.030696,-0.0122173
1771261861.869503,747852,0.0232129,-0.0314596,-0.0135917
1771261861.883486,747866,0.0245873,-0.0332921,-0.0117592
1771261861.8973892,747880,0.0248928,-0.034972,-0.013439
1771261861.911426,747894,0.0250455,-0.0310014,-0.0116064
1771261861.9254599,747908,0.025809,-0.032834,-0.0132863
1771261861.9394681,747922,0.0259618,-0.0345139,-0.0152716
1771261861.953404,747936,0.0256563,-0.0297797,-0.0126754
1771261861.9674282,747950,0.0248928,-0.0303905,-0.0140499
1771261861.981426,747964,0.0250455,-0.0314596,-0.0108429
1771261861.9953978,747977,0.0238237,-0.0323759,-0.0138972
1771261862.009394,747992,0.0244346,-0.033903,-0.0146608
1771261862.0235279,748005,0.0248928,-0.033903,-0.0129809
1771261862.037406,748019,0.0241292,-0.030696,-0.011301
1771261862.051543,748034,0.023671,-0.0308487,-0.00946841
1771261862.0655391,748047,0.0251982,-0.0311541,-0.00931569
1771261862.079495,748061,0.0256563,-0.0311541,-0.01237
1771261862.0933938,748076,0.0239765,-0.0313068,-0.0129809
1771261862.1072829,748089,0.0255036,-0.0305433,-0.0135917
1771261862.121242,748103,0.0255036,-0.0332921,-0.0140499
1771261862.135177,748117,0.0251982,-0.030696,-0.01237
1771261862.149384,748131,0.0245873,-0.0326813,-0.0125227
1771261862.163192,748145,0.0238237,-0.031765,-0.0120646
1771261862.17715,748159,0.02474,-0.0334449,-0.0120646
1771261862.191157,748173,0.0245873,-0.031765,-0.0148135
1771261862.2048278,748187,0.02474,-0.0299324,-0.0120646
1771261862.218865,748201,0.0241292,-0.030696,-0.0111483
1771261862.234727,748215,0.023671,-0.0308487,-0.0128282
1771261862.2487948,748231,0.0242819,-0.032834,-0.0132863
1771261862.2629051,748245,0.0245873,-0.0325286,-0.0111483
1771261862.276997,748259,0.0255036,-0.0331394,-0.0140499
1771261862.290899,748273,0.0255036,-0.032834,-0.014508
1771261862.3049338,748287,0.0255036,-0.031765,-0.0119119
1771261862.319055,748301,0.02474,-0.0334449,-0.0146608
1771261862.332999,748315,0.0245873,-0.0310014,-0.0111483
1771261862.346949,748329,0.0241292,-0.0313068,-0.0116064
1771261862.3608162,748342,0.02474,-0.031765,-0.01237
1771261862.3748322,748357,0.0241292,-0.0322231,-0.01237
1771261862.388957,748371,0.0248928,-0.0299324,-0.0129809
1771261862.402852,748384,0.025809,-0.0316123,-0.0143553
1771261862.4168499,748399,0.0255036,-0.0325286,-0.0126754
1771261862.430783,748413,0.0244346,-0.0310014,-0.0116064
1771261862.444771,748426,0.0232129,-0.0325286,-0.0129809
1771261862.4587462,748441,0.023671,-0.031765,-0.0111483
1771261862.4727411,748455,0.0242819,-0.0288634,-0.0117592
1771261862.4866939,748468,0.0232129,-0.0316123,-0.011301
1771261862.500553,748483,0.0245873,-0.0310014,-0.013439
1771261862.514595,748497,0.0253509,-0.0334449,-0.0164934
1771261862.528539,748510,0.0242819,-0.0340557,-0.0129809
1771261862.542505,748524,0.0256563,-0.0332921,-0.010232
1771261862.55642,748539,0.0250455,-0.030696,-0.0109956
1771261862.570389,748552,0.022602,-0.0299324,-0.00946841
1771261862.584297,748566,0.0238237,-0.0320704,-0.0132863
1771261862.598289,748581,0.0245873,-0.0334449,-0.0140499
1771261862.612226,748594,0.0245873,-0.0310014,-0.0108429
1771261862.6261811,748608,0.0248928,-0.0326813,-0.0135917
1771261862.6401331,748622,0.0255036,-0.0314596,-0.0103847
1771261862.6540859,748636,0.0248928,-0.0332921,-0.0142026
1771261862.668109,748650,0.0251982,-0.0319177,-0.0158825
1771261862.683902,748664,0.0250455,-0.0326813,-0.0125227
1771261862.698022,748680,0.0245873,-0.0299324,-0.0111483
1771261862.7120519,748694,0.0239765,-0.0293215,-0.013439
1771261862.725792,748708,0.0253509,-0.0311541,-0.0109956
1771261862.7397819,748722,0.0253509,-0.0314596,-0.0119119
1771261862.753837,748736,0.0255036,-0.0313068,-0.0137445
1771261862.767713,748750,0.025809,-0.0323759,-0.0128282
1771261862.781832,748764,0.0239765,-0.0308487,-0.0106901
1771261862.7958982,748778,0.0248928,-0.0313068,-0.0122173
1771261862.80966,748792,0.0248928,-0.0314596,-0.0117592
1771261862.82403,748806,0.025809,-0.0299324,-0.0119119
1771261862.838033,748820,0.0255036,-0.0323759,-0.0126754
1771261862.8520708,748834,0.0256563,-0.0342084,-0.0125227
1771261862.866014,748848,0.02474,-0.0313068,-0.0146608
1771261862.880018,748862,0.0251982,-0.031765,-0.00870483
1771261862.893919,748876,0.0235183,-0.0323759,-0.011301
1771261862.907609,748890,0.0244346,-0.0313068,-0.0100793
1771261862.92153,748904,0.0235183,-0.0310014,-0.0125227
1771261862.9355159,748918,0.0250455,-0.0303905,-0.0131336
1771261862.949484,748931,0.0239765,-0.0337503,-0.0117592
1771261862.963534,748946,0.0253509,-0.0326813,-0.0100793
1771261862.977536,748960,0.0245873,-0.0302378,-0.0135917
1771261862.9914,748973,0.0248928,-0.0316123,-0.0114537
