t_pc,t_mcu_ms,gx_raw,gy_raw,gz_raw
1771261157.410814,42776,0.0238237,-0.0320704,-0.0131336
1771261157.411102,42791,0.0213803,-0.0331394,-0.0132863
1771261157.411388,42804,0.025809,-0.0332921,-0.0105374
1771261157.4116638,42818,0.0255036,-0.0335976,-0.0116064
1771261157.41194,42832,0.0233656,-0.0305433,-0.0120646
1771261157.4122329,42846,0.0210748,-0.0279471,-0.0171042
1771261157.4124959,42860,0.0300851,-0.0319177,-0.0163406
1771261157.412738,42874,0.0210748,-0.0407752,-0.00198531
1771261157.412999,42888,0.02474,-0.0345139,-0.00641408
1771261157.4132311,42904,0.0255036,-0.036041,-0.0109956
1771261157.4134662,42918,0.0239765,-0.0294742,-0.0174097
1771261157.413701,42932,0.0238237,-0.0264199,-0.0201585
1771261157.413961,42946,0.0251982,-0.0308487,-0.0178678
1771261157.414206,42960,0.0273362,-0.0326813,-0.0158825
1771261157.414434,42974,0.023671,-0.0343612,-0.0106901
1771261157.41468,42988,0.0230602,-0.0351248,-0.00778853
1771261157.414921,43002,0.0248928,-0.0351248,-0.00885754
1771261157.415155,43016,0.0253509,-0.0354302,-0.0167988
1771261157.415403,43030,0.0235183,-0.0340557,-0.0166461
1771261157.415636,43044,0.02474,-0.0332921,-0.0155771
1771261157.415858,43058,0.025809,-0.0335976,-0.014508
1771261157.416082,43072,0.0259618,-0.0308487,-0.01237
1771261157.416322,43086,0.0222966,-0.0308487,-0.00962113
1771261157.416555,43099,0.0239765,-0.0313068,-0.0109956
1771261157.416789,43114,0.0253509,-0.0354302,-0.0163406
1771261157.417036,43128,0.022602,-0.0335976,-0.0172569
1771261157.417263,43141,0.0218384,-0.0378736,-0.0186314
1771261157.4174972,43155,0.0261145,-0.036041,-0.0158825
1771261157.41774,43170,0.0245873,-0.0352775,-0.0135917
1771261157.417978,43183,0.0219911,-0.0323759,-0.0117592
1771261157.418211,43197,0.0253509,-0.0300851,-0.0103847
1771261157.418443,43212,0.0261145,-0.0308487,-0.0129809
1771261157.41864,43225,0.0238237,-0.0299324,-0.00839939
1771261157.418839,43239,0.0227547,-0.0271835,-0.00778853
1771261157.419005,43254,0.0259618,-0.031765,-0.011301
1771261157.419177,43267,0.0245873,-0.0302378,-0.0137445
1771261157.419362,43281,0.0233656,-0.0323759,-0.0166461
1771261157.419539,43296,0.0248928,-0.0340557,-0.0132863
1771261157.41971,43309,0.0265726,-0.0325286,-0.0137445
1771261157.41988,43323,0.0216857,-0.0346666,-0.011301
1771261157.4200478,43338,0.022602,-0.033903,-0.00946841
1771261157.42022,43353,0.0265726,-0.0314596,-0.0119119
1771261157.420418,43367,0.0238237,-0.0308487,-0.0142026
1771261157.420613,43381,0.0221439,-0.0273362,-0.010232
1771261157.420807,43395,0.025809,-0.0323759,-0.0120646
1771261157.427082,43409,0.0265726,-0.032834,-0.0117592
1771261157.441192,43422,0.0229074,-0.0299324,-0.0129809
1771261157.455162,43437,0.0241292,-0.0310014,-0.0100793
1771261157.469186,43451,0.0265726,-0.0369573,-0.0166461
